DATAS,NUMEROS
19/01/21,1396
20/01/21,3919
21/01/21,3404
22/01/21,2690
23/01/21,2876
24/01/21,3245
25/01/21,3203
26/01/21,2246
27/01/21,1643
28/01/21,2875
29/01/21,8656
30/01/21,10213
31/01/21,7148
01/02/21,4156
02/02/21,2869
03/02/21,2784
04/02/21,5062
05/02/21,7971
06/02/21,8787
07/02/21,1357
08/02/21,10601
09/02/21,7901
10/02/21,1435
11/02/21,1740
12/02/21,1784
15/02/21,2598
16/02/21,3455
17/02/21,3365
18/02/21,2828
19/02/21,2944
20/02/21,2363
22/02/21,6320
23/02/21,2430
24/02/21,1896
25/02/21,6789
26/02/21,13519
27/02/21,14455
28/02/21,8741
01/03/21,3011
02/03/21,3146
03/03/21,1541
04/03/21,7670
05/03/21,3957
06/03/21,9906
07/03/21,2259
08/03/21,9838
09/03/21,8683
10/03/21,5621
11/03/21,5829
12/03/21,6546
13/03/21,4733
15/03/21,6565
16/03/21,6359
17/03/21,6711
18/03/21,5571
19/03/21,6829
20/03/21,11020
21/03/21,5052
22/03/21,3807
23/03/21,12446
24/03/21,12987
25/03/21,16015
26/03/21,16088
27/03/21,16886
28/03/21,16800
29/03/21,8819
30/03/21,11251
31/03/21,17947
01/04/21,14898
03/04/21,18596
04/04/21,8841
05/04/21,17200
06/04/21,7453
07/04/21,11379
08/04/21,7407
09/04/21,8708
10/04/21,15685
11/04/21,5479
12/04/21,5930
13/04/21,5564
14/04/21,6290
15/04/21,4999
16/04/21,6647
17/04/21,21537
18/04/21,11281
19/04/21,14761
20/04/21,16651
21/04/21,13968
22/04/21,17469
23/04/21,10343
24/04/21,18025
25/04/21,8877
26/04/21,11021
27/04/21,16882
28/04/21,11961
29/04/21,6068
30/04/21,9476
01/05/21,9749
02/05/21,4526
03/05/21,10362
04/05/21,12067
05/05/21,14474
06/05/21,16153
07/05/21,13092
08/05/21,7671
10/05/21,15638
11/05/21,17128
12/05/21,12046
13/05/21,13244
14/05/21,10142
15/05/21,30210
16/05/21,14869
17/05/21,14646
18/05/21,12866
19/05/21,15498
20/05/21,17166
21/05/21,20919
22/05/21,11188
23/05/21,5
24/05/21,1539
25/05/21,8711
26/05/21,9159
27/05/21,29113
28/05/21,12864
29/05/21,3053
31/05/21,2665
01/06/21,1060
02/06/21,1040
03/06/21,21240
04/06/21,15931
05/06/21,12313
07/06/21,14804
08/06/21,18230
09/06/21,13892
10/06/21,21628
11/06/21,20778
12/06/21,14651
14/06/21,6761
15/06/21,6830
16/06/21,21376
17/06/21,6789
18/06/21,17332
19/06/21,19789
20/06/21,5209
21/06/21,19249
22/06/21,15318
23/06/21,12
24/06/21,3
25/06/21,25506
26/06/21,18986
27/06/21,10169
28/06/21,16947
29/06/21,4585
30/06/21,4425
01/07/21,37284
02/07/21,15994
04/07/21,24103
05/07/21,22613
06/07/21,7250
07/07/21,919
08/07/21,758
09/07/21,23538
10/07/21,8603
11/07/21,1539
12/07/21,2451
13/07/21,11474
14/07/21,6424
15/07/21,6429
16/07/21,24479
17/07/21,30956
19/07/21,23663
20/07/21,34329
21/07/21,32170
22/07/21,37234
23/07/21,14134
24/07/21,17408
25/07/21,29
26/07/21,11053
27/07/21,8468
28/07/21,21499
29/07/21,22176
30/07/21,12616
31/07/21,20919
01/08/21,10231
02/08/21,20301
03/08/21,22041
04/08/21,22782
05/08/21,29717
06/08/21,23263
07/08/21,21419
09/08/21,38166
10/08/21,37650
11/08/21,35730
12/08/21,30003
13/08/21,30719
14/08/21,28677
15/08/21,1
16/08/21,34637
17/08/21,23896
18/08/21,47075
19/08/21,34598
20/08/21,20546
21/08/21,43002
22/08/21,4
23/08/21,25669
24/08/21,23359
25/08/21,26878
26/08/21,16360
27/08/21,18923
28/08/21,22626
30/08/21,16475
31/08/21,14200
